Id,Province/State,Country/Region,Lat,Long,Date,ConfirmedCases
0,,Poland,51.9194,19.1451,2020-03-15,119
1,,India,21.0,78.0,2020-03-04,28
2,,Algeria,28.0339,1.6596,2020-03-02,3
3,,Hungary,47.1625,19.5033,2020-03-21,103
4,Arizona,US,33.7298,-111.4312,2020-02-17,0
5,,South Africa,-30.5595,22.9375,2020-02-13,0
6,,Benin,9.3077,2.3158,2020-02-23,0
7,,The Gambia,13.4667,-16.6,2020-03-17,0
8,,Russia,60.0,90.0,2020-01-28,0
9,,Ukraine,48.3794,31.1656,2020-03-01,0
10,Netherlands,Netherlands,52.1326,5.2913,2020-03-04,38
11,Delaware,US,39.3185,-75.5071,2020-02-03,0
12,West Virginia,US,38.4912,-80.9545,2020-03-16,0
13,,Saint Vincent and the Grenadines,12.9843,-61.2872,2020-02-11,0
14,,Czechia,49.8175,15.473,2020-02-25,0
15,Guadeloupe,France,16.25,-61.5833,2020-03-13,1
16,,Taiwan*,23.7,121.0,2020-02-16,20
17,Ningxia,China,37.2692,106.1655,2020-02-17,70
18,Nebraska,US,41.1254,-98.2681,2020-03-16,18
19,New York,US,42.1657,-74.9481,2020-02-19,0
20,,Philippines,13.0,122.0,2020-02-19,3
21,,Qatar,25.3548,51.1839,2020-02-24,0
22,,Malta,35.9375,14.3754,2020-01-24,0
23,,Holy See,41.9029,12.4534,2020-01-24,0
24,,Lebanon,33.8547,35.8623,2020-02-03,0
25,,Nigeria,9.082,8.6753,2020-03-17,3
26,,Oman,21.0,57.0,2020-01-23,0
27,,Puerto Rico,18.2,-66.5,2020-02-17,0
28,Michigan,US,43.3266,-84.5361,2020-03-05,0
29,,Mongolia,46.8625,103.8467,2020-03-13,1
30,Tennessee,US,35.7478,-86.6923,2020-03-18,79
31,,San Marino,43.9424,12.4578,2020-03-11,62
32,Queensland,Australia,-28.0167,153.4,2020-02-28,5
33,,Djibouti,11.8251,42.5903,2020-01-25,0
34,Aruba,Netherlands,12.5186,-70.0358,2020-03-14,2
35,,Vietnam,16.0,108.0,2020-01-25,2
36,Louisiana,US,31.1695,-91.8678,2020-02-02,0
37,St Martin,France,18.0708,-63.0501,2020-02-28,0
38,,Djibouti,11.8251,42.5903,2020-01-27,0
39,,Mayotte,-12.8275,45.1662,2020-03-21,0
40,Ohio,US,40.3888,-82.7649,2020-02-15,0
41,Kentucky,US,37.6681,-84.6701,2020-03-11,8
42,Virgin Islands,US,18.3358,-64.8963,2020-03-03,0
43,,Mauritius,-20.2,57.5,2020-02-04,0
44,Gansu,China,37.8099,101.0583,2020-02-29,91
45,,Monaco,43.7333,7.4167,2020-03-06,1
46,Shaanxi,China,35.1917,108.8701,2020-03-10,245
47,,Somalia,5.1521,46.1996,2020-03-16,1
48,,Latvia,56.8796,24.6032,2020-02-12,0
49,,Cameroon,3.848,11.5021,2020-01-28,0
50,,Iceland,64.9631,-19.0208,2020-02-10,0
51,Cayman Islands,United Kingdom,19.3133,-81.2546,2020-02-17,0
52,,Paraguay,-23.4425,-58.4438,2020-02-15,0
53,Minnesota,US,45.6945,-93.9002,2020-02-22,0
54,Grand Princess,US,37.6489,-122.6655,2020-02-12,0
55,Australian Capital Territory,Australia,-35.4735,149.0124,2020-01-27,0
56,Shanxi,China,37.5777,112.2922,2020-01-28,27
57,,Kazakhstan,48.0196,66.9237,2020-03-13,4
58,,Guatemala,15.7835,-90.2308,2020-02-25,0
59,,Djibouti,11.8251,42.5903,2020-02-19,0
60,Wyoming,US,42.756,-107.3025,2020-03-01,0
61,,Iceland,64.9631,-19.0208,2020-01-30,0
62,,Mayotte,-12.8275,45.1662,2020-02-10,0
63,,Argentina,-38.4161,-63.6167,2020-03-21,158
64,,Saint Lucia,13.9094,-60.9789,2020-01-25,0
65,Maine,US,44.6939,-69.3819,2020-01-24,0
66,French Polynesia,France,-17.6797,149.4068,2020-03-05,0
67,,Israel,31.0,35.0,2020-03-01,10
68,,The Gambia,13.4667,-16.6,2020-02-09,0
69,,Argentina,-38.4161,-63.6167,2020-03-02,0
70,,North Macedonia,41.6086,21.7453,2020-02-02,0
71,,Montenegro,42.5,19.3,2020-01-28,0
72,US,US,37.0902,-95.7129,2020-03-07,0
73,,Benin,9.3077,2.3158,2020-02-22,0
74,,Guyana,5.0,-58.75,2020-02-02,0
75,Florida,US,27.7663,-81.6868,2020-02-06,0
76,,Montenegro,42.5,19.3,2020-03-05,0
77,Saskatchewan,Canada,52.9399,-106.4509,2020-03-18,8
78,New South Wales,Australia,-33.8688,151.2093,2020-02-26,4
79,,Cuba,22.0,-80.0,2020-01-26,0
80,Minnesota,US,45.6945,-93.9002,2020-01-25,0
81,,"Gambia, The",13.4432,-15.3101,2020-03-02,0
82,,Guinea,9.9456,-9.6966,2020-03-15,1
83,,Aruba,12.5211,-69.9683,2020-03-20,0
84,,Djibouti,11.8251,42.5903,2020-03-22,1
85,,Togo,8.6195,0.8248,2020-02-07,0
86,,Kyrgyzstan,41.2044,74.7661,2020-01-28,0
87,,Djibouti,11.8251,42.5903,2020-03-19,1
88,,Georgia,42.3154,43.3569,2020-03-22,54
89,,Mauritania,21.0079,10.9408,2020-02-20,0
90,Henan,China,33.882,113.614,2020-01-29,0
91,Diamond Princess,Cruise Ship,35.4437,139.638,2020-03-01,705
92,,Tunisia,34.0,9.0,2020-01-31,0
93,,Belarus,53.7098,27.9534,2020-01-28,0
94,Liaoning,China,41.2956,122.6085,2020-03-01,122
